Temperature (°C),Humidity (%),Moisture Level (%),Soil Type,Crop Type,pH Level,Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Fertilizer Recommendation
19.8,52.9,24.1,Loamy,Tomato,7.1,35.5,23.1,73.3,DAP
15.9,78.7,32.7,Loamy,Rice,7.6,47.8,22.9,41.9,SSP
20.9,69.6,27.3,Silty,Wheat,4.7,85.2,22.4,74.0,Gypsum
38.1,35.6,41.6,Clayey,Potato,8.0,91.7,40.6,28.7,Potash
30.3,67.5,19.1,Clayey,Maize,5.8,17.5,32.8,12.9,Urea
36.2,53.8,16.8,Sandy,Sugarcane,8.3,84.8,22.0,12.2,Potash
23.1,83.8,42.3,Silty,Maize,5.3,17.2,32.8,24.4,Urea
19.3,71.4,51.4,Loamy,Sugarcane,4.5,34.0,23.9,69.2,Gypsum
23.9,53.8,17.2,Chalky,Rice,5.9,26.3,14.8,28.7,Urea
34.2,78.2,43.4,Chalky,Tomato,7.1,37.1,35.1,49.6,SSP
15.3,41.5,20.5,Clayey,Tomato,8.0,96.3,49.0,71.8,SSP
19.0,77.6,52.6,Loamy,Wheat,8.0,98.2,39.1,75.0,SSP
27.0,77.8,32.5,Clayey,Maize,5.0,13.7,12.1,30.3,Urea
39.9,60.2,39.3,Peaty,Potato,8.3,92.9,44.3,50.4,SSP
38.2,83.5,15.9,Sandy,Maize,6.9,96.4,35.7,78.3,Urea
17.7,44.2,42.6,Loamy,Cotton,5.4,68.5,5.8,48.2,DAP
17.5,79.5,32.0,Sandy,Wheat,8.0,26.8,47.1,38.2,Urea
36.5,82.1,12.0,Loamy,Potato,5.0,82.5,35.3,78.8,Gypsum
33.6,43.9,24.4,Chalky,Rice,7.2,59.5,26.6,61.2,DAP
31.4,43.9,10.9,Silty,Tomato,7.9,75.7,9.5,32.1,DAP
31.2,42.4,22.0,Silty,Rice,4.9,55.4,44.1,59.3,Gypsum
34.7,63.6,30.2,Loamy,Sugarcane,4.8,53.6,48.4,48.1,Gypsum
25.3,79.0,31.5,Sandy,Sugarcane,5.0,92.2,32.1,46.5,Gypsum
31.2,38.3,10.3,Chalky,Sugarcane,4.6,99.9,25.1,30.7,Gypsum
33.3,77.6,39.1,Loamy,Sugarcane,6.0,82.5,12.3,52.7,DAP
15.9,41.0,30.5,Peaty,Cotton,5.8,65.0,26.1,41.0,Complex Fertilizer
34.1,89.6,49.6,Silty,Tomato,8.4,32.2,20.2,13.4,Potash
15.5,55.5,44.6,Peaty,Rice,6.6,44.6,14.3,79.2,DAP
17.6,38.4,35.1,Loamy,Potato,5.7,43.0,29.1,60.3,Potash
27.4,66.3,20.7,Sandy,Wheat,6.7,14.6,48.2,11.7,Urea
34.1,56.8,30.6,Sandy,Cotton,5.2,34.7,28.5,10.2,Potash
36.2,61.3,22.0,Peaty,Maize,7.6,18.2,15.0,26.1,Urea
36.9,59.9,39.6,Chalky,Rice,6.1,13.4,5.8,71.6,Urea
31.1,73.9,42.0,Loamy,Cotton,5.1,95.9,26.4,57.6,Gypsum
19.4,82.8,33.1,Clayey,Rice,6.6,37.2,28.5,51.6,Urea
32.6,86.5,59.6,Clayey,Potato,8.2,31.9,32.5,51.1,SSP
31.1,70.5,25.9,Loamy,Sugarcane,7.3,92.8,46.4,28.4,Potash
33.2,45.0,21.5,Chalky,Wheat,5.5,79.3,15.8,75.9,DAP
20.9,31.1,12.7,Loamy,Maize,8.0,53.4,23.7,38.9,SSP
25.9,75.6,18.8,Loamy,Maize,7.5,76.3,16.8,21.5,DAP
24.9,73.4,56.7,Loamy,Rice,5.3,94.4,37.9,55.8,Gypsum
35.3,88.6,42.4,Chalky,Tomato,5.4,87.7,15.3,59.1,DAP
29.1,82.5,42.0,Peaty,Wheat,6.8,18.7,20.5,61.4,Urea
28.6,39.9,56.5,Loamy,Maize,8.0,54.7,20.8,33.5,SSP
22.4,78.4,12.3,Clayey,Tomato,8.1,31.4,39.3,18.3,Potash
32.8,57.8,41.9,Peaty,Rice,6.9,28.8,21.9,41.6,Urea
17.7,84.9,25.4,Silty,Rice,7.9,73.6,19.1,10.6,DAP
34.4,33.0,18.0,Silty,Tomato,8.4,87.1,34.5,17.3,Potash
21.7,80.2,55.3,Peaty,Tomato,8.3,71.4,33.9,65.4,SSP
30.8,81.4,29.0,Silty,Cotton,4.7,37.2,44.6,75.4,Gypsum
18.9,65.1,28.4,Sandy,Cotton,6.1,84.7,9.0,63.7,DAP
31.3,46.2,33.8,Peaty,Tomato,7.3,90.3,14.7,17.9,DAP
17.2,54.6,46.3,Clayey,Potato,5.2,57.6,41.3,76.1,Gypsum
24.7,84.5,31.5,Sandy,Tomato,5.2,42.3,41.3,45.6,Gypsum
32.1,62.7,32.1,Chalky,Maize,5.3,89.1,43.6,79.3,Gypsum
22.5,76.4,15.7,Peaty,Wheat,5.1,43.0,23.7,15.0,Potash
22.0,44.3,49.3,Chalky,Tomato,6.0,75.0,30.7,27.4,Potash
15.9,62.8,37.8,Chalky,Maize,6.5,55.9,41.7,67.0,Gypsum
26.5,41.0,56.7,Chalky,Potato,7.9,50.0,50.0,23.2,Potash
31.2,90.0,19.1,Silty,Cotton,7.8,11.0,17.1,35.4,Urea
35.9,43.8,52.0,Peaty,Potato,4.6,71.5,21.7,62.7,Gypsum
15.7,51.2,35.8,Silty,Potato,7.9,34.8,16.1,40.9,DAP
31.5,39.2,39.9,Silty,Wheat,6.5,55.3,5.7,75.3,DAP
31.7,63.7,55.9,Chalky,Wheat,8.1,77.7,44.7,15.9,Potash
35.1,63.5,10.4,Sandy,Cotton,6.1,92.7,33.8,46.8,Potash
18.8,32.7,42.6,Silty,Cotton,7.8,41.6,38.3,32.8,SSP
18.4,47.7,47.0,Sandy,Rice,8.3,31.7,30.8,79.0,SSP
19.9,77.3,17.7,Silty,Tomato,4.7,96.5,14.8,32.8,DAP
15.6,52.1,25.4,Chalky,Maize,5.0,20.1,10.0,45.1,Urea
21.0,58.9,50.2,Loamy,Potato,7.3,66.7,48.7,64.6,Gypsum
33.7,75.6,49.7,Peaty,Maize,7.4,44.7,44.5,44.2,Complex Fertilizer
16.6,36.1,19.9,Loamy,Cotton,7.9,86.8,25.0,45.1,SSP
39.1,45.3,13.8,Chalky,Rice,4.9,79.4,22.7,27.3,Potash
23.1,39.5,54.9,Loamy,Sugarcane,4.7,68.2,25.8,25.4,Potash
19.4,88.6,41.7,Peaty,Rice,8.0,50.0,35.2,48.1,SSP
22.4,68.4,20.0,Peaty,Maize,5.2,47.3,23.9,17.8,Potash
24.9,85.4,50.2,Loamy,Potato,8.1,86.7,20.4,35.9,SSP
30.4,59.2,32.4,Peaty,Potato,7.2,18.9,37.0,44.3,Urea
32.8,87.0,33.3,Loamy,Potato,5.9,45.7,9.8,32.1,DAP
21.3,71.2,30.3,Loamy,Potato,5.6,27.7,43.6,50.7,Urea
30.0,60.7,38.1,Chalky,Rice,7.4,51.9,29.4,71.7,DAP
23.4,40.9,58.5,Peaty,Wheat,7.4,61.5,31.5,46.7,Gypsum
28.8,72.4,31.0,Silty,Rice,4.9,88.4,38.5,32.8,Gypsum
18.1,39.0,16.0,Loamy,Wheat,7.6,58.1,35.3,17.7,Potash
23.3,57.1,36.0,Sandy,Potato,6.6,91.9,45.6,44.5,SSP
21.6,48.5,21.9,Sandy,Sugarcane,7.2,47.1,21.6,35.6,Urea
27.9,52.4,31.7,Peaty,Sugarcane,5.0,55.4,18.9,24.9,DAP
27.0,30.6,41.7,Sandy,Wheat,5.8,71.7,18.8,48.8,DAP
34.1,42.2,11.2,Chalky,Cotton,5.3,81.6,29.2,48.8,Gypsum
25.4,85.4,16.7,Loamy,Tomato,5.1,31.4,28.3,77.3,Gypsum
24.5,62.1,32.2,Sandy,Sugarcane,5.0,47.5,22.5,63.6,Gypsum
23.8,85.5,57.5,Silty,Rice,7.2,75.1,6.9,20.8,DAP
37.7,58.8,38.4,Peaty,Maize,5.1,54.5,26.5,39.8,Gypsum
33.8,57.3,35.2,Loamy,Potato,5.5,58.1,5.8,16.2,DAP
22.9,65.1,16.0,Chalky,Tomato,5.6,74.1,43.5,63.2,Gypsum
38.8,62.2,21.5,Sandy,Potato,5.2,83.3,6.2,19.1,DAP
22.0,78.2,32.2,Clayey,Sugarcane,5.9,95.6,23.3,14.5,Potash
37.1,39.4,30.8,Chalky,Rice,8.1,93.9,47.3,59.1,SSP
27.1,84.5,13.0,Peaty,Sugarcane,5.5,85.9,43.8,52.3,Gypsum
23.5,72.1,58.6,Peaty,Wheat,5.3,32.7,12.7,25.7,DAP
19.4,43.9,34.2,Sandy,Tomato,5.4,67.9,27.8,75.7,Gypsum
18.6,40.2,16.2,Peaty,Rice,8.0,82.0,48.3,38.6,SSP
24.7,63.5,40.5,Loamy,Cotton,7.1,20.2,21.7,76.1,Urea
25.1,52.0,30.3,Clayey,Cotton,6.0,26.9,11.9,24.9,Urea
15.1,53.6,49.3,Sandy,Wheat,4.6,38.4,41.7,78.5,Gypsum
30.1,46.5,21.6,Clayey,Tomato,8.1,53.6,13.9,75.6,DAP
34.3,78.3,42.9,Sandy,Maize,4.7,73.8,16.7,69.9,DAP
23.1,55.7,56.8,Peaty,Tomato,7.5,28.4,39.4,14.6,Urea
39.5,39.9,31.3,Peaty,Cotton,6.8,39.6,35.3,22.6,Potash
31.5,30.3,47.2,Peaty,Tomato,4.9,25.8,42.8,29.0,Urea
32.1,58.6,25.7,Loamy,Potato,7.7,89.1,20.8,72.9,SSP
23.2,83.5,26.0,Silty,Wheat,8.5,14.6,44.2,27.9,Urea
30.0,84.6,10.2,Silty,Wheat,4.6,66.0,20.3,15.3,Potash
17.7,44.0,47.7,Loamy,Cotton,4.6,99.2,44.0,19.0,Potash
39.0,88.2,30.2,Chalky,Wheat,7.2,88.1,30.8,24.3,Potash
39.2,40.5,21.2,Peaty,Wheat,7.1,92.4,13.4,38.3,DAP
32.6,59.3,28.0,Peaty,Cotton,7.7,82.5,23.7,55.2,SSP
21.9,64.5,26.2,Clayey,Maize,6.3,57.5,13.8,16.4,DAP
19.6,35.0,13.1,Silty,Tomato,6.4,64.2,20.3,75.2,Potash
29.6,33.0,40.2,Chalky,Maize,4.9,73.8,26.0,68.9,Gypsum
27.6,69.3,26.1,Clayey,Tomato,7.3,88.4,26.8,62.9,SSP
24.6,30.4,22.1,Sandy,Potato,4.8,48.3,5.2,75.8,DAP
34.3,44.2,17.5,Silty,Rice,4.6,48.4,28.7,22.0,Potash
20.5,43.7,59.4,Peaty,Maize,5.1,62.7,35.9,60.9,Gypsum
37.9,86.3,29.3,Clayey,Rice,5.6,70.7,21.9,52.5,Complex Fertilizer
21.5,75.4,22.2,Loamy,Potato,7.1,37.9,7.2,71.8,DAP
22.1,74.6,19.2,Peaty,Rice,6.2,14.4,36.1,78.5,Urea
38.1,55.3,11.9,Silty,Tomato,6.3,25.5,47.7,67.1,Urea
26.3,75.9,58.7,Clayey,Cotton,4.7,72.9,46.1,79.0,Gypsum
15.1,60.7,36.5,Silty,Maize,6.9,93.1,28.9,13.4,Potash
34.6,38.0,33.2,Chalky,Maize,6.3,68.5,14.1,36.8,DAP
37.4,86.9,33.8,Peaty,Rice,8.4,56.1,9.0,74.5,DAP
24.0,47.5,30.5,Peaty,Tomato,6.9,36.8,48.4,25.9,Potash
37.6,59.6,29.8,Loamy,Tomato,6.2,77.6,38.3,50.8,Urea
30.5,67.0,28.6,Silty,Tomato,8.0,69.6,32.0,43.9,SSP
27.3,50.8,52.6,Peaty,Rice,6.4,43.7,46.4,69.4,Urea
32.7,63.3,46.3,Chalky,Cotton,5.5,85.3,27.9,25.1,Potash
29.5,41.9,43.4,Peaty,Tomato,6.4,22.6,5.8,69.9,Urea
36.5,77.4,40.7,Clayey,Sugarcane,6.8,81.2,48.9,41.9,Complex Fertilizer
34.0,69.3,38.0,Chalky,Cotton,5.4,83.5,12.2,68.0,DAP
20.3,52.8,52.6,Clayey,Cotton,4.7,56.2,31.6,56.9,Gypsum
16.6,80.5,15.8,Silty,Maize,5.9,59.3,14.2,62.1,DAP
19.6,79.0,22.6,Chalky,Wheat,5.9,72.4,22.8,70.3,Gypsum
22.0,60.3,25.8,Clayey,Rice,6.8,35.5,40.8,27.7,Potash
30.3,54.5,14.0,Peaty,Sugarcane,6.5,98.8,36.2,76.4,Gypsum
25.7,79.9,50.5,Sandy,Cotton,8.4,80.2,32.7,79.7,SSP
29.2,38.9,33.0,Silty,Potato,8.2,36.2,10.4,62.5,DAP
21.3,55.2,48.3,Loamy,Tomato,8.4,91.8,29.9,15.7,Potash
32.3,81.0,27.7,Peaty,Tomato,8.3,64.2,47.7,50.0,SSP
37.8,58.0,45.3,Chalky,Maize,5.2,51.4,40.1,62.1,Gypsum
25.0,42.9,35.8,Loamy,Wheat,5.5,68.5,29.5,38.1,DAP
39.4,67.4,44.4,Loamy,Sugarcane,5.8,65.3,39.6,28.7,Potash
38.5,57.2,21.7,Chalky,Rice,7.0,33.5,10.0,18.0,DAP
20.3,38.4,55.9,Silty,Sugarcane,7.7,79.5,12.3,48.8,DAP
19.6,80.8,53.8,Sandy,Tomato,5.7,25.2,18.6,65.1,Urea
33.6,34.3,25.7,Silty,Tomato,6.8,92.3,24.8,49.9,DAP
35.2,49.9,21.8,Sandy,Tomato,4.8,42.0,16.4,38.7,DAP
30.0,59.1,37.6,Sandy,Potato,5.2,70.9,9.6,37.2,DAP
16.9,81.2,60.0,Chalky,Rice,6.7,94.3,44.1,28.7,Potash
27.6,80.9,57.9,Sandy,Rice,6.9,90.0,31.0,72.7,Urea
25.1,74.0,49.0,Chalky,Potato,7.0,51.1,6.5,29.6,DAP
33.9,47.2,28.2,Loamy,Cotton,6.8,64.8,18.9,71.3,DAP
37.0,86.3,37.1,Sandy,Tomato,4.9,23.2,39.9,48.5,Urea
21.0,31.8,27.4,Clayey,Tomato,8.3,78.7,20.0,72.4,SSP
20.8,62.7,41.4,Peaty,Sugarcane,7.5,94.3,30.3,13.3,Potash
16.6,34.0,38.8,Loamy,Maize,5.1,75.2,13.0,75.3,DAP
15.2,75.2,45.5,Loamy,Maize,6.1,24.0,8.5,57.5,Urea
35.9,51.9,23.3,Clayey,Wheat,6.1,76.1,13.7,74.9,DAP
29.8,51.6,56.8,Clayey,Potato,8.4,17.7,20.2,57.4,Urea
25.0,74.3,31.8,Peaty,Sugarcane,6.7,29.3,30.3,41.9,Urea
39.5,66.9,51.0,Peaty,Tomato,6.6,42.3,7.6,38.6,DAP
16.6,45.7,36.0,Clayey,Rice,6.1,67.0,48.7,25.0,Potash
36.0,50.9,33.5,Sandy,Sugarcane,6.3,71.5,5.4,66.1,DAP
38.5,63.1,33.7,Chalky,Maize,6.6,53.2,38.6,54.9,SSP
20.9,81.6,26.1,Sandy,Wheat,5.4,11.9,20.7,64.6,Urea
32.8,87.6,45.0,Peaty,Rice,5.4,43.1,6.1,32.7,DAP
34.7,35.2,45.5,Peaty,Potato,8.0,21.4,9.4,68.2,Urea
16.4,86.9,37.7,Clayey,Maize,6.4,84.7,36.2,40.6,DAP
26.7,40.9,40.8,Loamy,Maize,7.2,14.2,33.3,23.9,Urea
25.2,43.4,11.1,Peaty,Sugarcane,8.2,81.1,34.5,46.9,SSP
37.0,38.7,19.7,Peaty,Cotton,7.1,65.6,26.8,74.2,Potash
37.5,57.9,32.8,Silty,Cotton,7.8,33.6,47.3,48.6,SSP
22.6,38.3,42.5,Peaty,Rice,8.1,52.3,35.1,48.8,SSP
38.4,47.8,22.4,Silty,Cotton,7.0,78.1,29.4,69.7,Urea
24.4,60.8,29.1,Chalky,Rice,7.7,54.6,34.1,32.1,SSP
32.6,64.9,54.5,Sandy,Wheat,5.1,90.5,35.3,36.0,Gypsum
23.7,64.6,45.7,Loamy,Potato,8.2,88.2,9.2,51.5,DAP
20.9,46.2,59.9,Sandy,Potato,5.6,40.1,25.2,63.3,DAP
27.9,40.8,32.9,Silty,Tomato,5.0,98.2,30.2,53.8,Gypsum
16.1,72.7,19.5,Loamy,Rice,7.2,83.2,34.8,46.3,Gypsum
31.5,37.4,41.8,Clayey,Potato,6.0,31.8,48.5,50.4,Gypsum
19.8,63.8,34.2,Silty,Tomato,4.6,94.8,24.7,64.4,Gypsum
37.4,35.0,42.4,Peaty,Tomato,4.9,81.5,49.3,24.0,Potash
17.1,48.8,24.6,Sandy,Rice,7.9,23.1,23.6,76.3,Urea
39.1,53.1,50.3,Clayey,Rice,7.9,33.6,23.3,32.7,SSP
19.0,57.9,13.9,Chalky,Sugarcane,6.8,76.8,15.6,24.7,DAP
39.5,57.9,40.7,Clayey,Wheat,4.7,83.8,35.8,43.4,Gypsum
29.1,39.4,34.3,Chalky,Tomato,6.4,44.1,17.5,13.0,DAP
38.4,49.8,38.4,Clayey,Potato,6.8,22.7,17.8,25.9,Urea
15.5,67.7,14.9,Sandy,Potato,7.0,78.9,19.8,33.5,DAP
15.1,52.7,20.5,Peaty,Maize,6.3,65.4,11.9,53.2,DAP
15.5,60.3,58.0,Loamy,Sugarcane,6.4,11.3,43.5,78.3,Urea
20.0,47.5,43.3,Clayey,Rice,5.5,84.4,17.6,70.7,DAP
32.4,58.3,47.6,Silty,Cotton,5.5,71.8,8.7,53.4,DAP
15.4,60.7,58.7,Peaty,Cotton,7.8,56.6,19.2,47.0,DAP
35.0,34.3,50.3,Chalky,Cotton,5.3,69.4,12.6,41.2,DAP
36.2,35.5,51.2,Clayey,Cotton,5.3,55.2,24.2,15.0,Potash
27.7,55.0,32.8,Clayey,Rice,5.4,39.4,29.5,10.3,Potash
16.3,64.5,31.0,Clayey,Cotton,4.7,62.3,48.3,20.4,Potash
17.6,85.1,39.7,Chalky,Wheat,5.8,73.5,18.3,65.7,DAP
37.3,39.6,25.0,Silty,Tomato,7.8,41.3,29.4,65.3,SSP
26.3,73.8,32.6,Loamy,Sugarcane,5.4,21.6,9.3,39.9,Urea
33.9,46.0,31.9,Silty,Rice,5.9,78.8,36.9,56.1,Urea
29.4,87.3,14.1,Loamy,Maize,8.5,23.3,23.2,29.5,Urea
28.9,76.8,24.5,Sandy,Wheat,5.4,59.9,47.6,24.6,Potash
22.5,43.0,57.6,Clayey,Maize,4.5,96.0,33.6,63.0,Gypsum
35.3,61.3,28.0,Loamy,Potato,7.5,34.0,40.5,23.1,Potash
18.4,75.5,34.9,Chalky,Maize,7.4,81.8,29.0,17.5,Potash
21.0,76.3,49.2,Chalky,Wheat,4.7,43.5,43.8,71.8,Gypsum
15.7,30.8,48.0,Loamy,Potato,8.4,96.7,13.7,48.2,DAP
28.8,83.4,28.5,Clayey,Potato,5.2,36.1,38.3,23.4,Potash
31.0,61.8,52.6,Clayey,Maize,7.8,18.3,22.8,51.8,Urea
17.2,32.9,54.2,Loamy,Maize,6.9,37.2,30.2,46.1,Urea
26.9,50.1,55.9,Sandy,Wheat,4.9,25.8,49.7,76.9,Urea
25.6,77.4,53.3,Sandy,Cotton,7.7,81.6,40.6,64.5,SSP
30.1,33.4,46.3,Chalky,Sugarcane,5.9,76.2,6.3,47.3,DAP
37.3,65.3,41.8,Clayey,Tomato,5.4,96.2,35.6,71.2,Gypsum
36.7,75.6,32.1,Peaty,Maize,4.8,80.4,29.7,33.5,Gypsum
28.4,50.8,21.3,Peaty,Sugarcane,5.8,52.0,16.8,67.3,DAP
36.5,77.9,42.4,Clayey,Cotton,4.8,42.3,6.7,60.2,DAP
33.0,67.9,43.3,Chalky,Sugarcane,4.7,55.4,7.0,64.5,DAP
19.4,89.5,27.6,Chalky,Rice,7.0,90.0,45.1,37.5,DAP
27.1,70.2,32.7,Silty,Sugarcane,5.0,94.4,44.6,12.7,Potash
29.9,48.8,38.7,Sandy,Potato,7.3,70.5,46.5,17.1,Potash
36.3,48.9,27.8,Sandy,Potato,7.8,83.4,25.6,11.2,Potash
27.6,58.8,44.1,Silty,Cotton,8.4,40.9,34.2,79.2,SSP
35.3,38.2,39.7,Chalky,Potato,5.2,38.2,15.1,49.8,DAP
24.8,74.1,34.4,Loamy,Rice,7.7,93.5,36.1,44.9,SSP
23.1,35.9,44.3,Sandy,Wheat,8.1,40.6,7.7,26.7,DAP
23.9,79.6,35.6,Peaty,Rice,5.4,43.2,14.4,56.7,DAP
18.7,46.6,43.7,Chalky,Rice,7.1,35.2,5.7,79.8,DAP
23.3,66.0,21.4,Loamy,Rice,4.7,47.1,15.3,18.7,DAP
29.0,83.3,54.0,Silty,Tomato,7.3,17.5,13.5,73.6,Urea
23.9,36.9,14.8,Silty,Tomato,5.3,69.0,34.4,57.1,Gypsum
24.1,49.9,10.7,Clayey,Potato,6.2,41.1,37.4,60.7,Urea
22.7,84.5,13.3,Clayey,Maize,5.5,24.9,7.2,19.9,Urea
33.5,53.6,25.3,Clayey,Potato,6.9,49.3,10.2,12.1,DAP
28.2,78.6,26.5,Sandy,Potato,4.9,88.3,8.3,21.1,DAP
28.0,73.0,50.6,Chalky,Potato,6.2,79.7,14.6,23.1,DAP
37.4,51.1,15.5,Sandy,Wheat,7.2,38.9,29.8,73.1,Complex Fertilizer
39.2,65.8,46.4,Sandy,Sugarcane,6.0,36.2,5.1,53.1,DAP
32.6,67.8,38.6,Loamy,Cotton,6.6,77.3,13.5,11.0,DAP
20.5,65.9,15.6,Clayey,Sugarcane,6.5,64.5,22.9,51.7,Gypsum
17.9,74.6,20.4,Loamy,Maize,8.5,95.5,20.2,66.4,SSP
28.3,49.1,55.2,Peaty,Rice,4.7,84.6,42.9,47.5,Gypsum
25.6,66.3,51.3,Clayey,Sugarcane,7.0,79.9,15.5,69.0,DAP
32.1,75.8,51.2,Clayey,Sugarcane,6.9,42.1,37.2,69.3,SSP
30.2,32.6,18.5,Sandy,Sugarcane,6.6,29.2,39.6,18.5,Urea
24.1,74.0,20.2,Chalky,Maize,7.6,33.4,13.8,31.2,DAP
38.0,53.7,45.7,Loamy,Potato,5.4,48.5,19.9,63.8,DAP
22.5,66.6,49.8,Clayey,Tomato,6.2,74.6,42.5,28.4,Potash
24.5,50.4,29.9,Silty,Tomato,7.6,50.9,43.2,79.0,SSP
31.6,51.6,17.7,Sandy,Wheat,5.2,95.7,23.6,42.9,Gypsum
18.2,78.7,26.8,Silty,Sugarcane,7.3,55.7,31.4,29.2,Potash
37.8,40.6,23.1,Sandy,Potato,8.0,41.0,27.7,53.8,SSP
24.2,61.0,59.3,Loamy,Rice,7.2,23.6,23.8,52.8,Urea
24.5,55.4,42.3,Silty,Cotton,5.5,59.8,29.1,26.4,Potash
28.6,34.2,58.7,Peaty,Cotton,7.8,12.7,14.8,55.2,Urea
37.3,69.1,20.8,Sandy,Maize,7.7,57.1,11.6,20.6,DAP
29.4,52.7,26.0,Silty,Potato,7.2,14.5,11.1,29.3,Urea
27.8,66.7,39.5,Peaty,Potato,7.0,56.7,37.6,65.7,DAP
29.3,33.2,55.4,Silty,Tomato,5.8,95.0,28.5,49.0,Potash
35.2,60.6,11.3,Silty,Tomato,8.0,67.1,13.6,66.7,DAP
30.0,41.5,43.3,Silty,Sugarcane,6.7,76.4,22.7,35.1,Potash
17.1,47.8,25.0,Sandy,Maize,7.8,23.8,11.7,20.0,Urea
23.8,53.2,49.2,Sandy,Tomato,7.9,71.5,16.0,40.4,DAP
23.7,55.1,47.5,Loamy,Sugarcane,6.8,72.9,11.6,46.1,DAP
20.1,72.5,44.0,Sandy,Cotton,4.6,23.3,8.4,21.1,Urea
30.5,73.9,39.4,Peaty,Sugarcane,6.7,38.0,25.6,65.6,Urea
35.6,88.3,32.9,Silty,Wheat,6.1,65.0,19.6,65.1,DAP
18.0,64.3,33.8,Loamy,Wheat,6.7,89.5,25.6,66.8,Gypsum
33.2,81.0,59.4,Chalky,Tomato,4.7,67.4,39.9,35.1,Gypsum
38.4,78.2,23.8,Silty,Sugarcane,7.0,11.5,39.6,30.8,Urea
18.8,57.6,18.8,Chalky,Rice,8.2,18.3,27.5,21.4,Urea
19.6,64.1,16.5,Chalky,Maize,6.6,71.6,16.1,51.0,DAP
31.7,53.0,43.6,Clayey,Maize,7.2,89.7,5.2,52.6,DAP
37.8,31.1,27.9,Sandy,Potato,6.2,42.2,37.5,42.2,Complex Fertilizer
20.0,83.6,11.6,Silty,Cotton,7.7,56.6,30.5,39.7,SSP
37.9,59.3,48.1,Peaty,Rice,5.1,54.1,44.6,48.6,Gypsum
35.3,47.5,37.0,Loamy,Maize,7.1,75.2,34.4,67.1,Potash
26.9,59.8,55.9,Silty,Maize,8.3,23.8,6.8,32.3,Urea
33.7,59.8,50.6,Chalky,Potato,7.0,35.1,10.8,66.0,DAP
34.9,45.9,42.4,Sandy,Sugarcane,6.2,60.7,22.6,76.0,Complex Fertilizer
25.1,72.4,55.7,Chalky,Cotton,6.1,77.3,49.8,22.3,Potash
26.6,32.0,28.3,Loamy,Wheat,4.9,54.9,27.8,77.7,Gypsum
28.0,79.2,29.2,Sandy,Maize,6.9,44.1,29.0,38.2,Potash
22.3,40.3,10.6,Loamy,Cotton,7.6,89.7,20.4,78.5,SSP
17.7,90.0,50.4,Loamy,Sugarcane,8.2,98.5,35.4,16.4,Potash
22.6,90.0,11.9,Peaty,Rice,4.5,65.7,25.8,32.1,Gypsum
34.3,68.3,59.1,Chalky,Tomato,5.9,35.6,10.5,73.9,DAP
26.8,60.4,55.5,Peaty,Wheat,5.5,61.6,47.1,42.6,Urea
21.3,56.9,18.8,Clayey,Sugarcane,7.3,52.3,17.1,43.8,DAP
16.0,76.8,42.0,Sandy,Sugarcane,5.0,89.6,25.2,17.8,Potash
28.3,63.1,33.1,Clayey,Rice,5.8,94.0,30.3,66.8,Urea
19.4,51.0,17.3,Chalky,Maize,7.6,75.3,5.3,33.9,DAP
38.3,35.2,44.0,Peaty,Sugarcane,5.7,53.7,20.6,42.7,Complex Fertilizer
32.3,54.6,48.0,Silty,Maize,6.0,96.0,11.9,77.1,DAP
31.7,84.8,24.4,Peaty,Cotton,7.0,60.6,37.2,28.8,Potash
37.1,64.1,20.0,Peaty,Maize,6.8,39.1,19.8,24.2,DAP
19.3,66.2,57.5,Peaty,Cotton,4.7,49.0,8.3,76.9,DAP
30.0,51.2,44.4,Sandy,Sugarcane,5.9,60.8,17.3,14.2,DAP
31.8,50.5,25.4,Peaty,Cotton,4.8,83.1,20.0,14.8,Potash
19.9,60.2,49.9,Sandy,Cotton,7.6,76.6,35.8,57.1,SSP
22.2,49.0,58.1,Loamy,Cotton,7.4,23.1,6.9,63.2,Urea
18.6,48.9,32.6,Chalky,Rice,5.1,20.8,13.5,52.1,Urea
21.0,80.2,11.3,Clayey,Cotton,8.1,22.7,9.0,77.7,Urea
31.1,72.7,17.5,Silty,Wheat,6.8,30.8,42.4,33.6,Potash
24.6,82.5,37.9,Sandy,Sugarcane,6.6,12.6,44.5,62.1,Urea
34.5,75.4,48.4,Chalky,Sugarcane,7.1,28.5,25.5,13.9,Urea
31.3,86.9,50.0,Clayey,Sugarcane,5.8,79.9,25.1,54.3,Gypsum
17.5,37.2,38.1,Sandy,Potato,5.5,30.7,49.1,51.6,Gypsum
16.7,41.7,29.0,Loamy,Maize,5.2,57.4,42.3,75.6,Gypsum
37.0,50.7,37.5,Clayey,Sugarcane,4.8,31.2,32.9,72.9,Gypsum
32.4,46.0,21.9,Silty,Potato,5.3,43.9,20.8,31.8,Gypsum
30.9,85.7,56.8,Silty,Maize,6.0,45.5,15.9,13.6,DAP
27.6,43.5,11.5,Peaty,Cotton,7.1,36.7,20.1,50.3,DAP
19.1,42.2,11.9,Sandy,Tomato,8.5,25.2,21.2,51.6,Urea
21.4,61.0,15.0,Silty,Cotton,4.8,98.5,43.3,34.0,Gypsum
23.5,71.3,53.2,Clayey,Cotton,7.2,99.0,10.2,22.8,DAP
